"시도","시군구","성별","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80세이상"
"경상북도","성주군","여","3","1","2","4","45","102","74","40","32","33","36","27","10","4","0","0","0"
"경상북도","안동시","남","5","1","1","8","98","163","146","54","58","42","50","38","28","15","2","3","1"
"경상북도","안동시","여","3","1","2","26","103","145","117","72","46","66","78","42","36","10","2","1","2"
"경상북도","영덕군","남","1","0","1","1","96","194","152","123","78","44","9","7","3","2","0","0","0"
"경상북도","영덕군","여","0","0","2","3","23","57","48","24","16","12","29","13","3","2","2","1","0"
"경상북도","영양군","남","0","0","0","0","5","15","5","3","3","10","9","9","6","2","0","0","0"
"경상북도","영양군","여","0","0","0","2","14","27","23","18","14","12","17","17","4","2","0","0","0"
"경상북도","영주시","남","6","3","2","16","153","113","90","60","27","19","25","28","12","7","0","0","0"
"경상북도","영주시","여","2","1","1","15","111","103","88","39","41","38","39","30","20","7","0","1","0"
"경상북도","영천시","남","9","8","2","92","446","714","589","402","160","88","62","40","22","5","1","0","0"
"경상북도","영천시","여","16","8","7","75","153","175","118","84","62","64","66","47","24","4","2","0","1"
"경상북도","예천군","남","2","4","0","2","27","58","30","28","14","11","29","17","9","1","2","0","1"
"경상북도","예천군","여","1","3","0","2","27","68","37","28","15","29","39","22","17","7","1","2","0"
"경상북도","울릉군","남","1","0","0","1","15","33","32","24","9","3","3","4","0","1","0","0","0"
"경상북도","울릉군","여","2","0","0","0","2","6","3","1","1","0","3","7","0","0","0","0","0"
"경상북도","울진군","남","3","0","1","3","116","342","287","206","127","58","10","9","8","3","0","0","0"
"경상북도","울진군","여","2","1","1","0","17","49","29","12","11","21","19","21","5","2","0","0","0"
"경상북도","의성군","남","2","0","2","3","44","78","67","41","27","15","17","16","5","3","2","1","2"
"경상북도","의성군","여","1","2","0","1","36","46","46","29","25","26","34","18","9","4","3","1","0"
"경상북도","청도군","남","0","0","1","1","65","181","132","45","27","24","17","19","0","1","2","2","0"
"경상북도","청도군","여","0","1","1","0","112","172","78","35","26","27","22","18","9","1","0","1","0"
"경상북도","청송군","남","0","0","0","1","5","6","2","5","5","2","9","6","5","0","1","1","0"
"경상북도","청송군","여","0","0","0","1","19","29","28","17","4","16","16","12","2","1","2","0","0"
"경상북도","칠곡군","남","19","17","10","39","286","739","684","483","197","101","80","46","42","14","7","1","3"
"경상북도","칠곡군","여","18","20","10","45","98","268","246","156","90","78","62","71","28","9","4","2","0"
"경상북도","포항시 남구","남","31","10","7","6","197","479","444","338","221","138","63","47","28","12","2","1","0"
"경상북도","포항시 남구","여","28","13","2","8","127","220","198","119","84","72","84","59","28","16","1","0","2"
"경상북도","포항시 북구","남","16","13","6","53","293","242","156","127","110","68","57","35","35","10","2","1","2"
"경상북도","포항시 북구","여","20","7","6","79","249","177","138","107","61","73","66","48","27","6","5","0","4"
"광주광역시","광산구","남","180","108","87","171","1408","1814","1329","891","568","424","229","188","71","17","8","4","4"
"광주광역시","광산구","여","152","106","74","147","927","807","673","434","364","334","299","222","82","26","5","1","0"
"광주광역시","남구","남","10","3","8","32","108","63","53","39","42","45","55","35","25","5","5","1","2"
"광주광역시","남구","여","9","4","2","32","225","140","108","70","51","65","92","42","17","5","4","2","2"
"광주광역시","동구","남","4","5","1","33","178","181","93","59","24","25","26","25","15","8","5","0","3"
"광주광역시","동구","여","8","1","3","31","215","137","76","42","19","20","46","36","14","1","2","1","1"
"광주광역시","북구","남","44","21","6","126","558","525","320","173","80","89","102","90","40","19","4","4","5"
"광주광역시","북구","여","49","27","11","101","623","534","364","182","134","142","181","125","41","21","6","2","3"
"광주광역시","서구","남","15","13","4","9","88","147","114","88","52","64","61","45","14","8","6","2","2"
"광주광역시","서구","여","11","7","4","8","135","193","131","89","57","95","75","70","12","10","2","1","2"
"대구광역시","남구","남","2","7","16","23","32","54","51","34","36","43","48","40","30","17","12","4","3"
"대구광역시","남구","여","7","6","10","30","80","121","104","60","63","48","56","48","13","5","6","4","5"
"대구광역시","달서구","남","71","40","16","110","789","1344","1091","733","419","310","172","102","51","26","7","8","1"
"대구광역시","달서구","여","83","54","13","141","610","639","526","326","195","215","162","124","62","17","4","3","0"
"대구광역시","달성군","남","50","29","19","20","332","956","973","605","289","208","136","80","33","8","5","2","0"
"대구광역시","달성군","여","80","34","21","26","140","325","337","226","164","138","142","91","29","12","4","0","1"
"대구광역시","동구","남","21","10","9","9","33","103","82","79","60","59","76","59","35","14","4","0","6"
"대구광역시","동구","여","12","10","8","24","143","234","181","149","92","90","99","76","32","8","7","2","1"
"대구광역시","북구","남","50","18","15","85","585","503","417","270","150","101","88","81","38","14","5","4","1"
"대구광역시","북구","여","48","24","10","101","614","524","353","172","118","151","126","87","45","15","7","2","4"
"대구광역시","서구","남","18","14","9","11","107","257","261","195","143","128","89","61","25","7","0","1","6"
"대구광역시","서구","여","24","16","6","18","86","202","195","104","89","100","104","71","21","9","2","3","5"
"대구광역시","수성구","남","4","8","13","24","54","107","102","83","56","59","56","46","21","10","7","1","2"
"대구광역시","수성구","여","10","14","8","35","109","205","141","90","59","59","59","48","25","9","3","2","3"
"대구광역시","중구","남","5","6","7","4","40","55","52","35","19","32","35","31","15","12","5","1","9"
"대구광역시","중구","여","7","3","1","5","29","64","55","51","29","27","34","36","26","19","6","6","12"
" 대전광역시","대덕구","남","15","9","8","29","219","215","185","165","80","73","62","61","25","5","2","3","0"
" 대전광역시","대덕구","여","20","9","11","35","181","222","170","101","72","105","101","70","31","13","6","0","0"
" 대전광역시","동구","남","27","19","12","199","817","186","93","90","81","70","69","70","53","21","8","2","1"
" 대전광역시","동구","여","16","12","9","191","1072","279","206","156","100","90","107","90","38","14","5","3","4"
" 대전광역시","서구","남","30","19","7","42","226","234","183","142","94","116","90","65","45","12","3","2","2"
" 대전광역시","서구","여","35","26","5","58","509","420","257","174","122","123","133","82","48","16","2","3","2"
" 대전광역시","유성구","남","123","71","32","174","713","634","506","294","122","123","88","60","47","15","8","4","0"
" 대전광역시","유성구","여","119","61","22","194","897","664","395","239","103","124","126","72","35","20","4","2","0"
" 대전광역시","중구","남","18","9","2","10","36","66","63","59","35","58","66","42","38","14","3","3","7"
" 대전광역시","중구","여","10","5","5","14","75","199","156","111","55","102","86","87","37","20","3","1","5"
"부산광역시","강서구","남","18","20","5","7","445","1340","1427","748","354","117","57","36","14","8","1","0","1"
"부산광역시","강서구","여","17","6","7","7","64","157","130","85","52","44","44","34","12","6","0","0","2"
"부산광역시","금정구","남","16","10","6","129","585","413","221","125","42","38","44","36","20","6","2","1","3"
