"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"부산광역시","동구","여","0","3","9","0","10","0","0","1","0","1","0","0","2","0","0","0","169","20","0","99","55","10","227","166","14","1","41","8"
"부산광역시","동래구","남","0","4","20","0","7","0","6","1","1","0","6","4","42","2","0","0","12","19","85","46","15","6","43","34","1","0","34","0"
"부산광역시","동래구","여","0","6","14","10","5","0","2","0","0","0","1","0","26","0","0","0","4","4","1","75","27","15","99","233","5","1","28","1"
"부산광역시","부산진구","남","0","17","126","1","37","1","0","8","23","3","9","5","48","3","0","0","0","29","75","99","47","27","125","64","13","7","86","9"
"부산광역시","부산진구","여","0","20","197","1","55","0","0","0","4","2","6","0","81","2","0","0","1","7","0","166","80","28","188","503","3","18","53","7"
"부산광역시","북구","남","0","4","106","0","329","0","1","1","4","0","1","1","24","0","0","0","0","19","24","85","17","3","51","29","2","0","68","0"
"부산광역시","북구","여","0","1","63","0","256","0","0","0","0","0","0","0","52","0","0","0","1","4","0","142","32","2","101","369","2","2","33","0"
"부산광역시","사상구","남","0","16","557","6","252","0","2","4","3","0","12","18","7","1","0","1","0","26","1174","141","49","11","114","70","67","0","104","2"
"부산광역시","사상구","여","0","12","811","4","228","0","0","0","0","0","6","0","17","0","0","0","0","7","45","234","68","16","169","565","20","3","68","2"
"부산광역시","사하구","남","0","3","88","6","31","0","9","2","7","3","2","237","42","3","0","0","0","34","1607","153","24","13","102","86","34","0","130","0"
