"id","location","gender","country","country_total"
410,강동구,남,가나,2
411,강동구,남,사우디아라비아,4
412,강동구,남,카메룬,0
413,강동구,남,터키,0
414,강동구,남,싱가포르,2
415,강동구,남,뉴질랜드,3
416,강동구,남,에티오피아,0
417,강동구,남,브라질,1
418,강동구,남,노르웨이,0
419,강동구,남,이탈리아,2
420,강동구,남,라오스,0
421,강동구,남,모로코,0
422,강동구,남,우간다,1
423,강동구,남,아일랜드,1
424,강동구,남,한국계러시아인,0
425,강동구,남,스페인,2
426,강동구,남,네덜란드,1
427,강동구,남,멕시코,2
428,강동구,남,예멘,0
429,강동구,남,아랍에미리트연합,0
430,강동구,남,타지키스탄,0
431,강동구,남,스웨덴,2
432,강동구,남,폴란드,1
433,강동구,남,라이베리아,0
434,강동구,남,케냐,0
435,강동구,남,이라크,0
436,강동구,남,요르단,0
437,강동구,남,세네갈,1
438,강동구,남,벨기에,0
439,강동구,남,페루,1
440,강동구,남,수단,0
441,강동구,남,콜롬비아,0
442,강동구,남,아프가니스탄,0
443,강동구,남,스위스,0
444,강동구,남,루마니아,0
445,강동구,남,에콰도르,0
446,강동구,남,리비아,0
447,강동구,남,덴마크,0
448,강동구,남,르완다,0
449,강동구,남,핀란드,1
450,강동구,남,그리스,0
451,강동구,남,벨로루시,0
452,강동구,남,오스트리아,0
453,강동구,남,콩고민주공화국,0
454,강동구,남,탄자니아,0
455,강동구,남,알제리,0
456,강동구,남,기니,0
457,강동구,남,코트디부아르,0
458,강동구,남,말리,0
459,강동구,남,튀니지,0
460,강동구,남,헝가리,0
461,강동구,남,아제르바이잔,1
462,강동구,남,이스라엘,0
463,강동구,남,베네수엘라,0
464,강동구,남,칠레,0
465,강동구,남,불가리아,1
466,강동구,남,체코,0
467,강동구,남,앙골라,0
468,강동구,남,아르헨티나,0
469,강동구,남,포르투갈,0
470,강동구,남,(마카오),0
471,강동구,남,투르크메니스탄,0
472,강동구,남,감비아,0
473,강동구,남,잠비아,0
474,강동구,남,쿠웨이트,0
475,강동구,남,과테말라,0
476,강동구,남,부룬디,0
477,강동구,남,짐바브웨,0
